product_name,generic_name,quantity,brands,brands_tags,categories,categories_tags,categories_en
Organic Baby Lima Beans,,,Unfi,unfi,"Plant-based foods and beverages, Plant-based foods, Legumes and their products, Legumes, Seeds, Legume seeds, Pulses, Butter beans","en:plant-based-foods-and-beverages,en:plant-based-foods,en:legumes-and-their-products,en:legumes,en:seeds,en:legume-seeds,en:pulses,en:butter-beans","Plant-based foods and beverages,Plant-based foods,Legumes and their products,Legumes,Seeds,Legume seeds,Pulses,Butter beans"
Organic Dark Red Kidney Bean,,,Pcc,pcc,,,
Coconut Almond Granola,,,Golden Temple,golden-temple,,,
Moelleux au chocolat,,,Golden Temple,golden-temple,,,
Tarte flan,,,,,,,
Maple Almond Granola,,,Golden Temple,golden-temple,,,
35% Fruit And Fiber Muesli,,,Golden Temple,golden-temple,,,
Rebel Crunch Granola,,,Pcc,pcc,,,
Compote de poire,,,,,,,
Organic Mixed Vegetable Spirals,,,Gardentime,gardentime,,,
Tricolor Tortellini,,,Napoleon,napoleon,,,
Organic Couscous,,,Unfi,unfi,,,
Organic Spaghetti,,,Gardentime,gardentime,,,
Orzo Rosa Marina,,,Sunridge,sunridge,,,
Organic Refined Spelt Flour,,,Vitaspelt,vitaspelt,,,
10-Grain Pancake Mix,,,Bob's Red Mill,bob-s-red-mill,,,
Fine Sea Salt,,,Unfi,unfi,,,
"Sweeteners, Organic Fair Trade Sugar",,,"Wholesome,  Wholesome Sweeteners","wholesome,wholesome-sweeteners",,,
Organic Refined Unbleached White Flour,,,Unfi,unfi,,,
Organic Whole Brown Rice Flour,,,Fairhaven,fairhaven,,,
Organic Whole Spelt Flour,,,Vitaspelt,vitaspelt,,,
Organic Whole Rye Flour,,,Fairhaven,fairhaven,,,
Granola Cranberry And Acai,,,Viva La Salud,viva-la-salud,,,
Organic Medium Whole Wheat Flour,,,Fairhaven,fairhaven,,,
Organic Soft Whole Wheat Pastry Flour,,,Fairhaven,fairhaven,,,
"Peanuts, Mixed Nuts",,,Northgate Market,northgate-market,,,
Mousse au chocolat,,,,,,,
Organic Large Raw Whole Cashews,,,Not A Branded Item,not-a-branded-item,,,
Organic Brown Sesame Seeds,,,Pcc,pcc,,,
Organic White Sesame Seeds,,,Not A Branded Item,not-a-branded-item,,,
Almonds Hickory-Smoked,,,Pcc,pcc,,,
"Foods, Spanish Peanuts",,,"Kettle,  Kettle Foods","kettle,kettle-foods",,,
"Foods, Honey Roasted Nut Mix",,,"Kettle,  Kettle Foods","kettle,kettle-foods",,,
Roasted Salted Sunflower Seeds,,,Kid Picks,kid-picks,,,
"Foods, Deluxe Nut Mix",,,"Kettle,  Kettle Foods","kettle,kettle-foods",,,
"Foods, Honey Roast Nuts & Fruit Mix",,,"Kettle,  Kettle Foods","kettle,kettle-foods",,,
Organic Raw Walnuts,,,Kid Picks,kid-picks,,,
Organic Raw Sunflower Seeds,,,Unfi,unfi,,,
Organic Trail Mix,,,Unfi,unfi,,,
Organic Pecan Halves,,,Pcc,pcc,,,
Unsalted Dry Roasted Almonds,,,Unfi,unfi,,,
Fromage blanc à la crème de marron,,,Pcc,pcc,,,
Organic Extra Virgin Olive Oil,,,Napa Valley Naturals,napa-valley-naturals,,,
Liquid Aminos,,,Bragg,bragg,,,
Organic Canola Oil Refined,,,Spectrum,spectrum,,,
Organic Shoyu,,,San J,san-j,,,
Organic Wheat-Free Tamari,,,San J,san-j,,,
Organic Grade B Maple Syrup,,,Coombs Family,coombs-family,,,
Curry Lentil Soup Mix,,,Taste Adventure,taste-adventure,,,
Split Pea Soup Mix,,,Taste Adventure,taste-adventure,,,
Whole Wheat 'N Honey Fig Bars,,,Marin,marin,,,
Chocolate Nut Crunch,,,Sunridge,sunridge,,,
Lion Peanut x2,,,,,,,
Milk Chocolate Peanut Butter Malt Balls,,,Sunridge,sunridge,,,
Organic Tamari Pumpkin Seed,,,Woodstock,woodstock,,,
Yogurt Pretzels,,,Woodstock,woodstock,,,
Organic Kamut Flakes,,,Unfi,unfi,,,
Regular Rolled Oats,,,Pcc,pcc,,,
Quick Rolled Oats,,,Unfi,unfi,,,
Organic Bulgur,,,Pcc,pcc,,,
Organic Toasted Buckwheat Groats,,,Pcc,pcc,,,
Organic Rolled Barley Flakes,,,Unfi,unfi,,,
Multigrain Cereal Flakes,,,Unfi,unfi,,,
8-Grain Wheat Free Cereal,,,Bob's Red Mill,bob-s-red-mill,,,
Swiss-Style Muesli,,,Grizzlies,grizzlies,,,
Organic Hulless Barley,,,Pcc,pcc,,,
Organic Millet,,,Pcc,pcc,,,
Organic Popcorn,,,Unfi,unfi,,,
Organic Soft White Wheat Berries,,,Unfi,unfi,,,
Organic Pearled Barley,,,Unfi,unfi,,,
Organic Wheat Bran,,,Guistos,guistos,,,
Organic Raw Buckwheat Groats,,,,,,,
Organic Oat Bran,,,Unfi,unfi,,,
Organic Thick Cut Rolled Oats,,,Unfi,unfi,,,
Organic Regular Rolled Oats,,,Unfi,unfi,,,
Moelleux,,,Unfi,unfi,,,
Organic Steel-Cut Oats,,,Unfi,unfi,,,
Organic Spelt Berries,,,Vitaspelt,vitaspelt,,,
Organic Quick Rolled Oats,,,Pcc,pcc,,,
Countrywild Rice Blend,,,Lundberg,lundberg,,,
Organic Arboria Rice,,,Lundberg,lundberg,,,
Lundberg Organic Golden Rose Medium Brown Rice,,,Unfi,unfi,,,
Twix x2,,,,,,,
Lundberg Olde World Pilaf,,,Pcc Farmland Trust,pcc-farmland-trust,,,
Pack de 2 Twix,,,"Twix,Lundberg","twix,lundberg","Snacks, Snacks sucrés, Confiseries, Confiseries chocolatées, Barres, Barres chocolatées","en:snacks,en:sweet-snacks,en:confectioneries,en:chocolate-candies,en:bars,en:chocolate-bars","Snacks,Sweet snacks,Confectioneries,Chocolate candies,Bars,Chocolate bars"
Organic Short Grain Brown Rice,,,Lundberg,lundberg,,,
Organic Sweet Brown Rice,,,Lundberg,lundberg,,,
Organic California White Sushi Rice,,,Lundberg,lundberg,,,
Organic Harvest Pilaf,,,Sunridge,sunridge,,,
Organic Wild Rice,,,Pcc,pcc,,,
Vanilla Extract,,,Unfi,unfi,,,
Poulet roti,,,,,,,
Organic Flax Seed,,,Unfi,unfi,,,
Cranberries,,,Torn & Glasser,torn-glasser,"Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Fruits based foods, Fruits, Berries, Cranberries","en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:fruits-based-foods,en:fruits,en:berries,en:cranberries","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Fruits,Berries,Cranberries"
Rémi,,,,,,,
Turkish Apricots,,,Northgate,northgate,,,
Banana Chips Sweetened,,,Not A Branded Item,not-a-branded-item,,,
Granola Honey Almonds,,,Northgate,northgate,,,
Chili Mango,,,Torn & Glasses,torn-glasses,,,
Milk Chocolate Pretzels,,,Torn & Glasser,torn-glasser,,,
Peanuts,,,Northgate,northgate,,,
"M&S Extrenely Chocolatey Milk, Dark & White Chocolate Biscuits",,500g,M&S,m-s,,,
Mont d'Or,,,,,,,
Nut'Alsace,,250g,Jacques bockel,jacques-bockel,,,
diet lemonade by Sainsbury's,,2l,Sainsbury's,sainsbury-s,,,
Organic Salted Pistachios,,,Unfi,unfi,,,
"Organic Dried Turkish Apricots, Bin # 5801",,,Coombs Family,coombs-family,,,
Organic Unsalted Pistachios,,,Unfi,unfi,,,
Organic Medjool Dates,,,Unfi,unfi,,,
Organic Pitted Prunes,,,Pcc,pcc,,,
Organic Pitted Deglet Dates,,,Kid Picks,kid-picks,,,
Sweetened Dried Cranberries,,,Kid Picks,kid-picks,,,
Organic Zante Currants,,,Unfi,unfi,,,
Organic Thompson Raisins,,,Unfi,unfi,,,
Organic Unrefined Extra Virgin Coconut Oil,,,Aunt Patty,aunt-patty,,,
Organic Brown Basmati Rice,,,Lundberg,lundberg,,,
Organic White Basmati Rice,,,Lundberg,lundberg,,,
Organic Unrefined Mascobado Sugar,,,Alter Eco,alter-eco,,,
Organic U.S. Peanuts,,,Cb's Nuts,cb-s-nuts,,,
Almonds,,,Equal Exchange,equal-exchange,,,
Pecan Halves,,,Unfi,unfi,,,
Organic Whole Cashews,,,Equal Exchange,equal-exchange,,,
Organic Pearl Quinoa,,,Unfi,unfi,,,
Chataignes d'aiguefonfe,,,,,,,
La jausiereine,,,,,,,
Fresh Organic Carrots,,,Bunny-Luv,bunny-luv,,,
Preparation en poudre pour biscuit Genoise,,,,,,,
Décors a parsemer,,,,,,,
Paleta gran reserva - Sierra nevada-,,,,,,,
Billes en chocolat,,,,,,,
Stylo glaçage gris,,,,,Décorations alimentaires,en:food-decorations,Food decorations
Barre chocolat au lait praliné,,245 g,,,,,
Paupière de saumon et st jacques,,,,,,,
Miel,,,,,,,
Miel Corse BIO maquis d'été,,,,,"Petit-déjeuners, Produits à tartiner, Produits à tartiner sucrés, Produits de la ruche, Produits d'élevages, Édulcorants, Miels","en:breakfasts,en:spreads,en:sweet-spreads,en:bee-products,en:farming-products,en:sweeteners,en:honeys","Breakfasts,Spreads,Sweet spreads,Bee products,Farming products,Sweeteners,Honeys"
Barbe à papa,,,,,,,
Mini muffins fourrés caramel 8+4GRT,,,,,,,
Biscuit tigre bio,,,,,,,
Paris Brest chocolat,,,,,,,
,,400 g,,,,,
Huile d'olive de Nîmes vierge extra,,,,,,,
Produit inconnu,,,,,,,
Pop corn caramel,,,,,,,
Blanquette de Volaille et son Riz,Blanquette de Volaille et son Riz,,Comme J’aime,comme-j-aime,"Plats préparés, Produits à la viande, Plats préparés à la viande, Plats à la volaille, Plats préparés à réchauffer au micro-ondes, Plats à la dinde","en:meals,en:meat-based-products,en:meals-with-meat,en:poultry-meals,en:microwave-meals,en:turkey-dishes","Meals,Meat-based products,Meals with meat,Poultry meals,Microwave meals,Turkey dishes"
Raviolini au Fromage de chèvre et Pesto,,300g ,Comme J’Aime,comme-j-aime,"Plats préparés, Plats préparés à réchauffer au micro-ondes","en:meals,en:microwave-meals","Meals,Microwave meals"
Potage instantané champignon,,,,,,,
Salade Cesar,Laitue en salade,0.980 kg,Kirkland Signature,kirkland-signature,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Légumes et dérivés, Légumes-feuilles","en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:leaf-vegetables","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Leaf vegetables"
Le Craquant au Pineau des Charentes,,,,,,,
Alo Exposed,,,,,,,
Huile d'olive persil ail,,,,,,,
BERLINGOTS saveur caramel,,,,,,,
,,,,,,,
Broyé de la grande Aquitaine aux noix du sud-ouest,,,Goulibeur,goulibeur,Gâteaux aux noix,fr:gateaux-aux-noix,fr:gateaux-aux-noix
Croc salé,,,,,,,
15 petites galettes,,,,,,,
Bon bombz jelly,,,,,,,
Pop corn chocolat,,,,,,,
,,,,,,,
Tarta fresa,,,,,,,
Danoises à la cannelle roulées,Pâtisserie ,1.150 kg,Kirkland Signature,kirkland-signature,"Snacks, Snacks sucrés, Biscuits et gâteaux, Pâtisseries","en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:pastries","Snacks,Sweet snacks,Biscuits and cakes,Pastries"
Comme j'aime,,,,,,,
Miel de lavande,,,,,,,
potage instantané tomate basilic,,,,,,,
Rucher du domaine national de chambord,,,,,,,
Entremets Crème Brulée,,20 g,Comme j'aime,comme-j-aime,"Produits laitiers, Desserts, Produits déshydratés, Desserts lactés, Produits lyophilisés à reconstituer","en:dairies,en:desserts,en:dried-products,en:dairy-desserts,en:dried-products-to-be-rehydrated","Dairies,Desserts,Dried products,Dairy desserts,Dried products to be rehydrated"
Potage instantané 8 légumes,,,,,,,
,,,,,,,
petits légumes sauce provençale et riz,,,,,,,
Bonbon fourres,,,,,,,
Sel aromatisé d'après Apicius,,,,,,,
Veggie Colin the Caterpillar,,170g,,,,,
Dragées aux amandes,,,Marque Repère Plantation,marque-repere-plantation,,,
Dragee d amande,,,,,,,
Flute,Flute,,Waitrose,waitrose,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads","en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads"
Feta and slow roasted tomato pasta,,,,,,,
still Scottish water,,,,,,,
Fairtrade Ground Cinnamon,,45g,,,,,
Dragé Coeurs de chocolat argenté,,,,,,,
Chaussons tressés aux pommes,Pâtisserie,1.200 kg,Kirkland Signature,kirkland-signature,"Snacks, Snacks sucrés, Biscuits et gâteaux, Pâtisseries, Viennoiseries, Chaussons aux pommes","en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:viennoiseries,en:pastries,en:apple-turnovers","Snacks,Sweet snacks,Biscuits and cakes,Viennoiseries,Pastries,Apple turnovers"
Yaourt myrtille,,,,,,,
Yaourt caramel beurre salé,,,,,,,
Dragées,,,,,,,
Jus de Pomme,,,,,"Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Boissons aux fruits, Jus et nectars, en:fruit-juices-and-nectars, Jus de fruits, Jus de pomme","en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:fruit-based-beverages,en:juices-and-nectars,en:fruit-juices,en:apple-juices,en:fruit-juices-and-nectars","Plant-based foods and beverages,Beverages,Plant-based beverages,Fruit-based beverages,Juices and nectars,Fruit juices,Apple juices,Fruit-juices-and-nectars"
Dessert lacte,,,,,,,
Ratatouille Bio,,,,,,,
Pommes séchées,,125g,Kazidomi,kazidomi,en:dried-fruits,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:dried-products,en:fruits-based-foods,en:dried-plant-based-foods,en:dried-fruits","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Dried products,Fruits based foods,Dried plant-based foods,Dried fruits"
,,,,,,,
Coeurs chocolat tte couleur,,,Agora,agora,,,
Mini cuchaule au beurre,,100 g,Coop Suisse,coop-suisse,,,
Reese's Peanut Butter Cups,,,,,,,
Les confiotes de mamie,,,,,,,
Coeur de chocolat etui,,,,,,,
Pizza prosciutto,,,Sodebo,sodebo,,,
Tarte au Maroilles,,,,,,,
Dragées Amandes Avola blanche,,,,,,,
Pain Burger Artisan,Pain,1.008 kg / 12 pain,Kirkland Signature,kirkland-signature,Boulange,fr:boulange,fr:boulange
Katsuobushi (Dried and smoked bonito flakes),,,Wadakyu Europe S.L,wadakyu-europe-s-l,,,
Pain de mie sans gluten,,,,,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Pains, Produits sans gluten, Pains de mie, Pains sans gluten, Pains de mie sans gluten","en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:products-without-gluten,en:sliced-breads,en:gluten-free-breads,en:gluten-free-sliced-breads","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Products without gluten,Sliced breads,Gluten-free breads,Gluten-free sliced breads"
lentilles vertes ,,1 kg ,Bertrand Lejeune,bertrand-lejeune,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Céréales et pommes de terre, Légumineuses, Graines, Graines de légumineuses, Légumes secs, Lentilles, Lentilles vertes","en:plant-based-foods-and-beverages,en:plant-based-foods,en:legumes-and-their-products,en:cereals-and-potatoes,en:legumes,en:seeds,en:legume-seeds,en:pulses,en:lentils,en:green-lentils","Plant-based foods and beverages,Plant-based foods,Legumes and their products,Cereals and potatoes,Legumes,Seeds,Legume seeds,Pulses,Lentils,Green lentils"
