product_name,generic_name,quantity,brands,brands_tags,categories,categories_tags,categories_en
Vindaloo Sauce,,,"Kroger,  The Kroger Co.","kroger,the-kroger-co",,,
Tofu Firm,,,Simple Truth Organic,simple-truth-organic,,,
Baguette parisien,,,,,,,
Chocolats de traditions,,460 g,Traditions du Périgord,traditions-du-perigord,,,
Sweet Cooking Rice Seasoning,,,"Kikkoman,  Kikkoman Corporation","kikkoman,kikkoman-corporation",,,
Fo-Ti,,125G,Salud Viva,salud-viva,Suplementos dietéticos,en:dietary-supplements,Dietary supplements
Foie gras canard Périgord,,100 g,,,"Poissons et viandes et oeufs, Foies gras, Foies gras de canard","en:fish-and-meat-and-eggs,en:foies-gras,en:foies-gras-from-ducks","Fish and meat and eggs,Foies gras,Foies gras from ducks"
Pâté au foie de canard,,130 g,Le Moulin de Moreau,le-moulin-de-moreau,"Meats, Prepared meats, fr:Charcuteries diverses, fr:Pâtés de foie, fr:Pâté au foie de canard","en:meats,en:prepared-meats,fr:charcuteries-diverses,fr:pates-de-foie,fr:pate-au-foie-de-canard","Meats,Prepared meats,fr:Charcuteries diverses,fr:Pâtés de foie,fr:pate-au-foie-de-canard"
Saucisse Superieur,,,,,,,
Chiponatas,,,,,,,
Saucisson sec au canard,,,Le Moulin de Moreau,le-moulin-de-moreau,,,
Moutarde aux noix aromatisee,,,Le Moulin de Moreau,le-moulin-de-moreau,,,
Terrine de caille aux pruneaux d'Agen,,180 g,Le Moulin de Moreau,le-moulin-de-moreau,"Meats, Prepared meats, Meat-based products, Terrines, Poultry terrines, Terrines de caille","en:meats,en:meat-based-products,en:prepared-meats,en:terrines,en:poultry-terrines,en:terrines-de-caille","Meats,Meat-based products,Prepared meats,Terrines,Poultry terrines,Terrines-de-caille"
Foie de canard aux figues,,90 g,,,"Poissons et viandes et oeufs, Foies gras, Foies gras de canard, Bloc de foie gras","en:fish-and-meat-and-eggs,en:foies-gras,en:foies-gras-from-ducks,fr:bloc-de-foie-gras","Fish and meat and eggs,Foies gras,Foies gras from ducks,fr:Bloc de foie gras"
Tartina de foie canard pépites figue,,80 g,Le Moulin de Moreau,le-moulin-de-moreau,,,
Tartinade de foie gras de canard aux cèpes,,80 g,Le Moulin de Moreau,le-moulin-de-moreau,"Poissons et viandes et oeufs, Foies gras, Foies gras de canard, Foie gras de canard aux cèpes, Tartinable au foie gras de canard","en:fish-and-meat-and-eggs,en:foies-gras,en:foies-gras-from-ducks,fr:foie-gras-de-canard-aux-cepes,fr:tartinable-au-foie-gras-de-canard","Fish and meat and eggs,Foies gras,Foies gras from ducks,fr:foie-gras-de-canard-aux-cepes,fr:tartinable-au-foie-gras-de-canard"
,,,Le Moulin de Moreau,le-moulin-de-moreau,,,
Foie gras d'oie Périgord,,65 g,Le Moulin de Moreau,le-moulin-de-moreau,"Poissons et viandes et oeufs, Foies gras, Foies gras d'oies, Bloc de foie gras","en:fish-and-meat-and-eggs,en:foies-gras,en:foies-gras-from-gooses,fr:bloc-de-foie-gras","Fish and meat and eggs,Foies gras,Foies gras from gooses,fr:Bloc de foie gras"
Foie gras d'oie du Périgord,,100 g,Le Moulin de Moreau,le-moulin-de-moreau,"Poissons et viandes et oeufs, Foies gras, Foies gras d'oies, Bloc de foie gras","en:fish-and-meat-and-eggs,en:foies-gras,en:foies-gras-from-gooses,fr:bloc-de-foie-gras","Fish and meat and eggs,Foies gras,Foies gras from gooses,fr:Bloc de foie gras"
,,,,,,,
Manteca de cacao en obleas,,,Saludviva,saludviva,,,
Curiously Strong Mints,Extra Strong Peppermints,50 g,Marks & Spencer,marks-spencer,"Snacks, Sweet snacks, Confectioneries, Chocolate candies, Bonbons","en:snacks,en:sweet-snacks,en:confectioneries,en:chocolate-candies,en:bonbons","Snacks,Sweet snacks,Confectioneries,Chocolate candies,Bonbons"
,,,,,,,
L offre du boucher,,,,,,,
Levadura nutricional,,,,,Suplementos dietéticos,en:dietary-supplements,Dietary supplements
Pasta box carbonara,,,,,,,
Cookies Belgian chocolate chunk,All butter cookies With Belgian dark and milk chocolate chunks ,230 g e,Marks & Spencer,marks-spencer,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Biscuits au chocolat, Cookies, Cookies au chocolat","en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,en:chocolate-biscuits,en:cookies,en:chocolate-cookies","Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Chocolate biscuits,Cookies,Chocolate cookies"
All Butter Sultana Cookies,,250 g,Marks & Spencer,marks-spencer,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Cookies, Cookies au raisin","en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,en:cookies,en:raisin-cookies","Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Cookies,Raisin cookies"
All Butter Belgian White Chocolate Chunk Cookies,Cookies au beurre avec des morceaux de chocolat blanc belge,225 g e,Marks & Spencer,marks-spencer,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Biscuits au chocolat, Cookies, Cookies au chocolat","en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,en:chocolate-biscuits,en:cookies,en:chocolate-cookies","Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Chocolate biscuits,Cookies,Chocolate cookies"
All Butter Fruity Flapjack Cookies,"Biscuits pur beurre avec de l'avoine, des raisins secs, de la noix de coco et des abricots déshydratés.",225 g e,Marks & Spencer,marks-spencer,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Cookies, Biscuits à l'avoine, Cookies au raisin","en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,en:cookies,en:oatmeal-cookies,en:raisin-cookies","Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Cookies,Oatmeal cookies,Raisin cookies"
Pistachio almond cookies,,10,Marks&spencer,marks-spencer,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Cookies","en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,en:cookies","Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Cookies"
Cranberry & Orange Cookies,All butter cookies with dried sweetened cranberries and flavoured with orange,"225 g ℮, 10 cookies",Marks & Spencer,marks-spencer,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits, Cookies","en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,en:cookies","Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Cookies"
Triple Belgian Chocolaté Chunk Cookies,,225 g e,Marks & Spencer,marks-spencer,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Biscuits au chocolat, Cookies, Cookies au chocolat, Cookies au chocolat au lait, Cookies au chocolat blanc, Cookies au chocolat noir","en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,en:chocolate-biscuits,en:cookies,en:chocolate-cookies,en:cookies-with-milk-chocolate,fr:cookies-au-chocolat-blanc,fr:cookies-au-chocolat-noir","Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Chocolate biscuits,Cookies,Chocolate cookies,Cookies with milk chocolate,fr:cookies-au-chocolat-blanc,fr:cookies-au-chocolat-noir"
Cookies Stem Ginger,cookies au beurre avec du gingembre confit et de l'avoine,225 g,Marks & Spencer,marks-spencer,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Cookies, Biscuits à l'avoine","en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,en:cookies,en:oatmeal-cookies","Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Cookies,Oatmeal cookies"
Stem Ginger Cookies,cookies au beurre à teneur réduite en matières grasses avec du gingembre confit,225 g (10 cookies),Marks & Spencer,marks-spencer,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Cookies","en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,en:cookies","Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Cookies"
Cookies pépites chocolat et noisette,,,M&S,m-s,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits, Chocolate biscuits, Cookies, Chocolate cookies","en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,en:chocolate-biscuits,en:cookies,en:chocolate-cookies","Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Chocolate biscuits,Cookies,Chocolate cookies"
Belgian White Chocolate Chunk Cookies (Reduced Fat),,,Marks & Spencer,marks-spencer,,,
Stem Ginger Dunkers,Cookies au beurre avec du gingembre confit et de l'avoine,320 g,M&S,m-s,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Cookies, Biscuits à l'avoine","en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,en:cookies,en:oatmeal-cookies","Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Cookies,Oatmeal cookies"
Salat der Saison Dressing für Feldsalat,,10 g,,,en:salad-dressings,"en:groceries,en:sauces,en:salad-dressings","Groceries,Sauces,Salad dressings"
Smoothie Strawberry & Banana,Smoothie fraise et banane,750 ml e,Marks & Spencer,marks-spencer,"Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Smoothies","en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:smoothies","Plant-based foods and beverages,Beverages,Plant-based beverages,Smoothies"
Coco rallado,,,,,,,
comte,,,,,"Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages, , Fromages à pâte pressée cuite, Fromages de France, en:labeled-cheeses, en:aoc-cheeses, Comté","en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:cooked-pressed-cheeses,en:french-cheeses,fr:comte,en:aoc-cheeses,en:labeled-cheeses","Dairies,Fermented foods,Fermented milk products,Cheeses,Cooked pressed cheeses,French cheeses,fr:Comté,Aoc-cheeses,Labeled-cheeses"
Friton pur porc,,190 g,,,,,
Mini Prince Sablés Goût chocolat ,,160 g,LU,lu,,,
Passion fruit,,,M & S,m-s,,,
Salade végétarienne,,,,,,,
Chicken burritos,,"306,5 g",Crous Languedoc Roussillon,crous-languedoc-roussillon,"Plats préparés,Salades,Salades composées","en:meals,en:salads,en:prepared-salads","Meals,Salads,Prepared salads"
Club Crudités,,,,,,,
Wrap saumon guacamole,,,Crous Resto',crous-resto,,,
Salade Cancun,,,,,,,
Salade fusili poulet tartare de légume,,,,,,,
Baguette poulet,,250 g,Crous Resto',crous-resto,Sandwichs à la volaille,"en:sandwiches,en:poultry-sandwiches","Sandwiches,Poultry sandwiches"
Wrap Indien,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Compote de poire,,,,,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Desserts, Aliments à base de fruits et de légumes, Fruits et produits dérivés, Compotes, Compotes-de-poire","en:plant-based-foods-and-beverages,en:plant-based-foods,en:desserts,en:fruits-and-vegetables-based-foods,en:fruits-based-foods,en:compotes,en:pear-compotes","Plant-based foods and beverages,Plant-based foods,Desserts,Fruits and vegetables based foods,Fruits based foods,Compotes,Pear compotes"
Pain d'épices,,225 g,,,"Snacks, Snacks sucrés, Biscuits et gâteaux, Pains d'épices","en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:gingerbreads","Snacks,Sweet snacks,Biscuits and cakes,Gingerbreads"
Wrap provençal,,,,,,,
Bagnat thon,,,,,,,
Ciabatta Cajun,,,,,,,
Sundae Mix,"Préparation pour glace à base de lait, stérilisée U.H.T.",10 L e (1 * 10 L e),McDonald's,mcdonald-s,"Desserts, Frozen foods, Frozen desserts, Ice creams and sorbets, Glass, Ice cream tubs, fr:Sundaes","en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-creams,en:ice-cream-tubs,fr:sundaes","Desserts,Frozen foods,Frozen desserts,Ice creams and sorbets,Ice creams,Ice cream tubs,fr:sundaes"
Vegavero Liver Active Complex,Complément alimentaire pour le foie Choline Bitartrate + Chicorée + Artichaut + Pissenlit + Curcuma | Vegan,90 capsules,Vegavero,vegavero,Compléments alimentaires,en:dietary-supplements,Dietary supplements
Freshly Squeezed Orange Juice,,,,,,,
,,,,,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Special breads, Bagel breads","en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:special-breads,en:bagel-breads","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Special breads,Bagel breads"
Harina de coco,,,,,,,
Salade 3 fromages,,,,,"Plats préparés, Salades, Salades composées","en:meals,en:salads,en:prepared-salads","Meals,Salads,Prepared salads"
Muffins pelites chocolat,,,,,,,
,,,,,,,
Salade fermière,,,,,,,
Cheddar,Cheddar en tranches,"7.788 kg (6 * 1,298 kg)",McDonald's,mcdonald-s,"Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages, Fromages du Royaume-Uni, Fromages de vache, Fromages d'Angleterre, Cheddars, Fromages en tranches, Cheddar en tranches","en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:cow-cheeses,en:cheeses-from-the-united-kingdom,en:cheeses-from-england,en:sliced-cheeses,en:cheddar-cheese,en:cheddar-slices","Dairies,Fermented foods,Fermented milk products,Cheeses,Cow cheeses,Cheeses from the United Kingdom,Cheeses from England,Sliced cheeses,Cheddar cheese,Cheddar slices"
,,,,,,,
Bircher style muesli,,,,,,,
,,,Marks And Spencer,marks-and-spencer,,,
Filet de lieu noir,,"0,205 kg",Intermarché,intermarche,,,
Poulet cuit fume,,,,,,,
,,,,,,,
M&S Chicken Penang,,400 g,M&S,m-s,,,
Chicken pad thaï,,400 g,MARKS & SPENCER,marks-spencer,"Plats préparés, Produits à la viande, Plats préparés à la viande, Plats à la volaille, Plats au poulet","en:meals,en:meat-based-products,en:meals-with-meat,en:poultry-meals,en:meals-with-chicken","Meals,Meat-based products,Meals with meat,Poultry meals,Meals with chicken"
Triangle crudités,,265 grammes,Crous resto',crous-resto,Sandwich,en:sandwiches,Sandwiches
Espirulina En Comprimidos Ecologica Salud Viva,,,Salud Viva,salud-viva,,,
Salade niçoise,,,,,,,
Moringa,,,,,,,
Vinaigre de cidre marin,,"32,5cl",Océanik,oceanik,"Vinaigres, Vinaigres de cidre","en:vinegars,en:cider-vinegars","Vinegars,Cider vinegars"
Sliced white bread,,,Sainsbury's,sainsbury-s,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, White breads","en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:white-breads","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,White breads"
Soupe de courgette et noisette,,,,,,,
Proteína de guisante al 80%,,,,,,,
Fluffy Stuff Cotton Candy,,,,,,,
,,,,,,,
Harina de coco,,,,,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Harinas de origen vegetal","en:plant-based-foods-and-beverages,en:plant-based-foods,en:flours","Plant-based foods and beverages,Plant-based foods,Flours"
Salade norvégienne crous,,,,,,,
salade fusili sauce bulgare,,,,,,,
Imported Olive Oil,,,Trader Giotto's,trader-giotto-s,,,
Wild Rice,,454 g,Trader Joe's,trader-joe-s,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Seeds, Cereals and their products, Cereal grains, Wild rice","en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:seeds,en:cereals-and-their-products,en:cereal-grains,en:wild-rice","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Seeds,Cereals and their products,Cereal grains,Wild rice"
Extra Virgin Olive Oil,,,"Trader Giotto's,  Ciel De Bleu  Inc.","trader-giotto-s,ciel-de-bleu-inc","Plant-based foods and beverages, Plant-based foods, Fats, Olive tree products, Vegetable fats, Vegetable oils, Olive oils, Extra-virgin olive oils","en:plant-based-foods-and-beverages,en:plant-based-foods,en:fats,en:olive-tree-products,en:vegetable-fats,en:vegetable-oils,en:olive-oils,en:extra-virgin-olive-oils","Plant-based foods and beverages,Plant-based foods,Fats,Olive tree products,Vegetable fats,Vegetable oils,Olive oils,Extra-virgin olive oils"
Extra virgin Olive oil,,,"Trader Giotto's,  Sk Wear","trader-giotto-s,sk-wear","Plant-based foods and beverages, Plant-based foods, Fats, Olive tree products, Vegetable fats, Vegetable oils, Olive oils","en:plant-based-foods-and-beverages,en:plant-based-foods,en:fats,en:olive-tree-products,en:vegetable-fats,en:vegetable-oils,en:olive-oils","Plant-based foods and beverages,Plant-based foods,Fats,Olive tree products,Vegetable fats,Vegetable oils,Olive oils"
,,,,,,,
Beef Ragu,,,,,,,
King prawn linguine,,,Marks & Spencer,marks-spencer,"Plats préparés, Plats à base de pâtes","en:meals,en:pasta-dishes","Meals,Pasta dishes"
Chicken Arrabiata,,,Marks & Spencer,marks-spencer,"Plats préparés, Produits à la viande, Plats préparés à la viande, Plats à base de pâtes, Plats à la volaille, Plats au poulet","en:meals,en:meat-based-products,en:meals-with-meat,en:pasta-dishes,en:poultry-meals,en:meals-with-chicken","Meals,Meat-based products,Meals with meat,Pasta dishes,Poultry meals,Meals with chicken"
Thé matcha,,,,,,,
Reduced Fat Mayonnaise,,32 FL OZ (1 QT) 946 mL,Trader Joe's,trader-joe-s,"Groceries, Sauces, Mayonnaises","en:groceries,en:sauces,en:mayonnaises","Groceries,Sauces,Mayonnaises"
Roast chicken breast,,,,,,,
Peanut Butter,,,Trader Joe's,trader-joe-s,"Plant-based foods and beverages, Plant-based foods, Legumes and their products, Spreads, Nuts and their products, Plant-based spreads, Oilseed purees, Nut butters, Legume butters, Peanut butters","en:plant-based-foods-and-beverages,en:plant-based-foods,en:legumes-and-their-products,en:spreads,en:nuts-and-their-products,en:plant-based-spreads,en:oilseed-purees,en:nut-butters,en:legume-butters,en:peanut-butters","Plant-based foods and beverages,Plant-based foods,Legumes and their products,Spreads,Nuts and their products,Plant-based spreads,Oilseed purees,Nut butters,Legume butters,Peanut butters"
crunchy salted peanut butter stir,,454 g,Trader Joe's,trader-joe-s,"Plant-based foods and beverages, Plant-based foods, Legumes and their products, Spreads, Nuts and their products, Plant-based spreads, Oilseed purees, Nut butters, Legume butters, Peanut butters","en:plant-based-foods-and-beverages,en:plant-based-foods,en:legumes-and-their-products,en:spreads,en:nuts-and-their-products,en:plant-based-spreads,en:oilseed-purees,en:nut-butters,en:legume-butters,en:peanut-butters","Plant-based foods and beverages,Plant-based foods,Legumes and their products,Spreads,Nuts and their products,Plant-based spreads,Oilseed purees,Nut butters,Legume butters,Peanut butters"
Peanut Butter,,,"Trader joe s,Trader Joe's","trader-joe-s,trader-joe-s","Plant-based foods and beverages, Plant-based foods, Legumes and their products, Spreads, Nuts and their products, Plant-based spreads, Oilseed purees, Nut butters, Legume butters, Peanut butters","en:plant-based-foods-and-beverages,en:plant-based-foods,en:legumes-and-their-products,en:spreads,en:nuts-and-their-products,en:plant-based-spreads,en:oilseed-purees,en:nut-butters,en:legume-butters,en:peanut-butters","Plant-based foods and beverages,Plant-based foods,Legumes and their products,Spreads,Nuts and their products,Plant-based spreads,Oilseed purees,Nut butters,Legume butters,Peanut butters"
Salsa Verde,,12 fl oz,Trader Joe's,trader-joe-s,,,
Te matcha,,,,,,,
Club rosette - CROUS,,,,,,,
Club Thon,,,,,,,
,,,Sainsbury's,sainsbury-s,,,
"Traders Joe's, Baking Powder",,,Legacy Manufacturing Co.,legacy-manufacturing-co,,,
Conrads Apfelmus,,350 g,,,,,
"Creamed Honey, Multi-Floral & Clover Blossoms",,,Trader Joe's,trader-joe-s,,,
mostly mesquite honey,,1,trader joe's,trader-joe-s,"Spreads, Breakfasts, Sweet spreads, Bee products, Farming products, Sweeteners, Honeys","en:breakfasts,en:spreads,en:sweet-spreads,en:bee-products,en:farming-products,en:sweeteners,en:honeys","Breakfasts,Spreads,Sweet spreads,Bee products,Farming products,Sweeteners,Honeys"
"Fraises, framboises & mûres",,140 g,Marks & Spencer,marks-spencer,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Fruits et produits dérivés,Fruits,Fruits rouges","en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:fruits-based-foods,en:fruits,en:berries","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Fruits,Berries"
,,1570 kg,,,,,
Baguette Brie &quot;Petit Prix&quot;,,,,,,,
Tostaditos,,100 g,Bimbo,bimbo,Picos de pan,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:breadsticks,es:picos-de-pan","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Breadsticks,es:Picos de pan"
Pink salmon,,,Trader Joe's,trader-joe-s,,,
Salade Crous Bowl,,,,,,,
Thé de l'échanson,,,,,,,
"First Crush, Unsweetened Gravenstein Apple Sauce",,,Trader Joe's,trader-joe-s,,,
,,2.5 kg,Starbucks,starbucks,,,
Yopa,,4 x 100 g,,,,,
Whole kernel corn,,15 oz,Trader Joe's,trader-joe-s,,,
Clam Chowder,,425 g,pilgrim joe's,pilgrim-joe-s,"Meals, Soups, Chowders","en:meals,en:soups,en:chowders","Meals,Soups,Chowders"
"Just Great Stuff, The Original Powdered Organic Peanut Butter",,,Betty Lou's Inc.,betty-lou-s-inc,,,
Colossal Olives With Jalapeno Peppers,,,Trader Joe's,trader-joe-s,,,
Soy creamer,,,Trader Joe's,trader-joe-s,,,
Marinara Sauce,,,Trader Joe's,trader-joe-s,,,
Naturally Flavored Sparkling Mountain Spring Water,,,Talking Rain Beverage Co.  Inc,talking-rain-beverage-co-inc,,,
"Kevin Durant Kd 35 Limited Edition, Naturally Flavored Sparkling Water",,,Talkingrain Beverage Company,talkingrain-beverage-company,,,
Coconut Pineapple Naturally Flavored Sparkling Mountain Spring Water,,,Talking Rain Beverage Co.  Inc,talking-rain-beverage-co-inc,,,
Peach Nectarine Naturally Flavored Sparkling Mountain Spring Water,,,Talkingrain Beverage Company,talkingrain-beverage-company,,,
"Lemonade, Naturally Flavored Sparkling Mountain Spring Water",,,Talking Rain Beverage Co.  Inc,talking-rain-beverage-co-inc,,,
Naturally Flavored Sparkling Mountain Spring Water,,,Talking Rain Beverage Co.  Inc,talking-rain-beverage-co-inc,,,
Naturally Flavored Sparkling Mountain Spring Water,,,Talking Rain Beverage Co.,talking-rain-beverage-co,,,
Rêverie de Ming,,,,,,,
Happy Cola Candy,,,"Haribo,  Haribo Gmbh & Co. Kg","haribo,haribo-gmbh-co-kg",,,
Astragalus Membranaceus,,,,,,,
Popcorn,,,Marks & Spencer,marks-spencer,"Snacks, Snacks sucrés, Popcorn","en:snacks,en:sweet-snacks,en:popcorn","Snacks,Sweet snacks,Popcorn"
,,,,,,,
Maqui berry,,,,,,,
Psyllium,,,,,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Harinas de origen vegetal, Psyllium en polvo","en:plant-based-foods-and-beverages,en:plant-based-foods,en:flours,es:psyllium-en-polvo","Plant-based foods and beverages,Plant-based foods,Flours,es:psyllium-en-polvo"
Pasta de Cacao en Obleas,,,,,,,
Finest Milk Chocolate,,,Weinrich's,weinrich-s,,,
Chilli con Carne,,,,,"Plats préparés, Produits à la viande, Plats préparés à la viande, Chili con carne","en:meals,en:meat-based-products,en:meals-with-meat,en:chili-con-carne","Meals,Meat-based products,Meals with meat,Chili con carne"
,,,,,,,
Bayas de Goji,,,,,,,
,,,,,,,
Salade Mac,,10 kg (5 * 2 kg),"McDonald's,Florette,Florette Food Service","mcdonald-s,florette,florette-food-service","Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Légumes et dérivés, Frais, Plats préparés, Aliments à base de plantes frais, Légumes-feuilles, Salades, Légumes frais, Salades composées, Salades vertes, Salade Iceberg","en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:fresh-foods,en:meals,en:fresh-plant-based-foods,en:leaf-vegetables,en:salads,en:fresh-vegetables,en:prepared-salads,en:leaf-salads,fr:salade-iceberg","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Fresh foods,Meals,Fresh plant-based foods,Leaf vegetables,Salads,Fresh vegetables,Prepared salads,Leaf salads,fr:salade-iceberg"
Ultimate Crumpets,,330 g e,Marks & Spencer,marks-spencer,"Petit-déjeuners, Crêpes et galettes, Crumpets","en:breakfasts,en:crepes-and-galettes,fr:crumpets","Breakfasts,Crêpes and galettes,fr:crumpets"
,,,,,,,
,,,,,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Seeds, Cereals and their products, Cereal grains, Rices, Aromatic rices, Indica rices, Long grain rices, Brown rices, Jasmine rice, Brown Jasmine rices","en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:seeds,en:cereals-and-their-products,en:cereal-grains,en:rices,en:aromatic-rices,en:indica-rices,en:long-grain-rices,en:brown-rices,en:jasmine-rice,en:brown-jasmine-rices","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Seeds,Cereals and their products,Cereal grains,Rices,Aromatic rices,Indica rices,Long grain rices,Brown rices,Jasmine rice,Brown Jasmine rices"
Carrot & coriandre soup,,400 g,,,en:Carrot & Coriander soup,en:carrot-coriander-soup,Carrot-coriander-soup
Butternut squart & sweet potato soup,,,,,,,
4 HOT CROSS BUNS,,,,,,,
Free range mixed size eggs,,,Simply M&S,simply-m-s,"Farming products, Eggs, Chicken eggs","en:farming-products,en:eggs,en:chicken-eggs","Farming products,Eggs,Chicken eggs"
Jus d'ananas du Costa Rica,,,,,,,
Porridge de Riz,Rice Porridge,,"Marks&Spencer,Marks & Spencer","marks-spencer,marks-spencer","Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Céréales et pommes de terre, Céréales et dérivés, Céréales pour petit-déjeuner, Porridges","en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:cereals-and-their-products,en:breakfast-cereals,fr:porridges","Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,fr:porridges"
Graines de lin brun,,1 kg,Planète au Naturel,planete-au-naturel,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Graines, Céréales et dérivés, Céréales en grains, Lins, Graines de lin dorées","en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:seeds,en:cereals-and-their-products,en:cereal-grains,en:flax-seeds,en:gold-flax-seeds","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Seeds,Cereals and their products,Cereal grains,Flax seeds,Gold flax seeds"
Pasta box vege,,,,,,,
,,,,,,,
Highland Shortbread - All Butter Fingers,,,Sainsbury's,sainsbury-s,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Biscuits sablés, Shortbread","en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,en:shortbread-cookies,en:shortbread","Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Shortbread cookies,Shortbread"
